,Date,txnid,adjdate,trndate,Product Code,Product,adjamount,txnsubtype,RRN,adjflag,adjreasoncode,TAT
0,2026-02-17,NPD202601281251243169e253a2c9ae3434,2026-02-02,2026-01-28,NPD,UPI P2M B/FB U2,5000,U2,"""639463922774""",B,00,T+15
1,2026-02-17,NPD20260127232203373ec86efd1b05d43c,2026-02-02,2026-01-27,NPD,UPI P2M B/FB U2,5000,U2,"""639349963545""",B,00,T+15
2,2026-02-17,PTM3f663a03fd974e98afad9cffa010b2e7,2026-02-03,2026-02-01,APP,UPI P2M B/FB U2,1845,U2,"""396482546646""",B,00,T+14
3,2026-02-17,NPD202601281324408313270219285b74a1,2026-02-02,2026-01-28,NPD,UPI P2M B/FB U2,20000,U2,"""101687943618""",B,00,T+15
4,2026-02-17,PTM14e69474d9ad4c26abfed7128541e491,2026-02-02,2026-01-30,ICI,UPI P2M B/FB U2,1151,U2,"""396356892491""",B,00,T+15
5,2026-02-17,NPD202601291210465829792946cbe4043d,2026-02-02,2026-01-29,NPD,UPI P2M B/FB U2,4500,U2,"""639537690047""",B,00,T+15
6,2026-02-17,YBLa9939698677545a991fec4045e92f1bc,2026-02-02,2026-01-28,YES,UPI P2M B/FB U2,2285,U2,"""772855057876""",B,00,T+15
7,2026-02-17,APY019bf45e854e5f84961ed8d5ac748f70,2026-02-03,2026-01-25,YBA,UPI P2M B/FB U2,2658,U2,"""776602353804""",B,00,T+14
8,2026-02-17,YESB48F335DEDBC73BA3E06400144FFAE8A,2026-02-03,2026-01-22,YBS,UPI P2M B/FB U2,3424,U2,"""602270004676""",B,00,T+14
9,2026-02-17,MBTabae44573bd74d61b31e4829062a6571,2026-02-03,2026-01-17,APP,UPI P2M B/FB U2,2197,U2,"""601714771813""",B,00,T+14
10,2026-02-17,YESB48988EE061992514E06400144FFAE8A,2026-02-03,2026-01-17,YBS,UPI P2M B/FB U2,3524,U2,"""601754747885""",B,00,T+14
11,2026-02-17,ACDd8a9764aab2f4ca78e7b02234d7bb4a1,2026-02-03,2026-01-21,YBS,UPI P2M B/FB U2,1064,U2,"""638729550534""",B,00,T+14
12,2026-02-17,YBL8d2b61edc00f4fdc9ab40a11366c0ce5,2026-02-03,2026-01-16,YES,UPI P2M B/FB U2,270,U2,"""188347126241""",B,00,T+14
13,2026-02-17,PTMd5d42e44a9ee4deaae1cf8b9594606f8,2026-02-03,2026-02-01,GTI,UPI P2M B/FB U2,999,U2,"""396482783108""",B,00,T+14
14,2026-02-17,AXL9c081b06e37d403eb2e6611cece47260,2026-02-03,2026-02-01,GTI,UPI P2M B/FB U2,13800,U2,"""841660268361""",B,00,T+14
15,2026-02-17,PTM95A55E013E914F928EB6069F7D16D0FA,2026-02-03,2026-01-24,YBS,UPI P2M B/FB U2,15000,U2,"""602451686506""",B,00,T+14
16,2026-02-17,HDF492ED93C8687586DE063EDEEE20A3112,2026-02-03,2026-02-02,HDF,UPI P2M B/FB U2,639,U2,"""102619784837""",B,00,T+14
17,2026-02-17,AXIb919afe419c141c6ae24330b6da178ba,2026-02-03,2026-01-31,YES,UPI P2M B/FB U2,2561,U2,"""639708037012""",B,00,T+14
18,2026-02-17,AXB20260130224326179513546667048960,2026-02-02,2026-01-30,APP,UPI P2M B/FB U2,28300,U2,"""639659222115""",B,00,T+15
19,2026-02-17,YBLad8fa6b64a6d479f81b7ba18c0b452af,2026-02-02,2026-02-01,YES,UPI P2M B/FB U2,3316,U2,"""603276829277""",B,00,T+15
20,2026-02-17,AXId97f16e5867840f0a9e1dd07a35d499d,2026-02-02,2026-02-01,YES,UPI P2M B/FB U2,9267,U2,"""639857180400""",B,00,T+15
21,2026-02-17,YBL7243a21413cf48b4b6124d2c4a0ca088,2026-02-02,2026-02-01,YES,UPI P2M B/FB U2,199,U2,"""603284054027""",B,00,T+15
22,2026-02-17,K811T7c518d4567594836b3765c8b15f2a1,2026-02-02,2026-02-01,YES,UPI P2M B/FB U2,190,U2,"""603216832138""",B,00,T+15
23,2026-02-17,YBLc8c37cd1942442fe9f75bfaea9dd1159,2026-02-02,2026-01-17,APP,UPI P2M B/FB U2,973,U2,"""116841702245""",B,00,T+15
24,2026-02-17,YBL2a64956b99a2420eb8c3a6ea80563156,2026-02-02,2026-02-01,YES,UPI P2M B/FB U2,499,U2,"""603254864534""",B,00,T+15
25,2026-02-17,K811T58875747b7a54f5ca4427ea56a3966,2026-02-02,2026-01-29,NPD,UPI P2M B/FB U2,300,U2,"""602913754355""",B,00,T+15
26,2026-02-17,KJP38c4a89fb2b843b2b36ed8aa4d93b8e0,2026-02-02,2026-01-31,KKM,UPI P2M B/FB U2,39,U2,"""603122791092""",B,00,T+15
27,2026-02-17,AXB7036051fa7d24a4568aa05baf398518d,2026-02-02,2026-01-31,YES,UPI P2M B/FB U2,1999,U2,"""639768925075""",B,00,T+15
28,2026-02-17,AXBEE3DB5BCB6CE480BB33792D7698A991C,2026-02-02,2026-01-25,ICI,UPI P2M B/FB U2,1544,U2,"""602591667313""",B,00,T+15
29,2026-02-17,AXB7d0f9024a66a2a4ca9aa024a746099ff,2026-02-02,2026-01-22,GTI,UPI P2M B/FB U2,4194,U2,"""602254107255""",B,00,T+15
30,2026-02-17,YBL174c9f163c01468195c5930959435395,2026-02-02,2026-01-28,YES,UPI P2M B/FB U2,4003,U2,"""761228316630""",B,00,T+15
